artist,artist_ko,summary,image_url
aaron siskind,아론 시스킨드,"Aaron Siskind (1903 년 12 월 4 일 - 1991 년 2 월 8 일)는 사물의 세부 사항에 중점을 둔 미국 사진 작가였으며, 원래 주제와 독립적 인 새로운 이미지를 만들기 위해 평평한 표면으로 제시되었습니다.그는 초록 표현주의 운동의 일부가 아니라면 과밀하게 관여했으며 화가 Franz Kline (Charles Egan Gallery에서 자신의 획기적인 쇼와 같은시기에 Siskind의 One-Man Shows와 같은시기에 열린 획기적인 쇼)과 친한 친구였습니다.), Mark Rothko 및 Willem de Kooning.",https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Portrait_of_Aaron_Siskind_by_Harry_Callahan.jpg/220px-Portrait_of_Aaron_Siskind_by_Harry_Callahan.jpg
abidin dino,아비딘 디노,아비딘 디노 (1913 년 3 월 23 일-1993 년 12 월 7 일)는 터키 예술가이자 유명한 화가였습니다.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Abidin_Dino_and_his_wife_G%C3%BCzin_Dino.jpg/220px-Abidin_Dino_and_his_wife_G%C3%BCzin_Dino.jpg
ad reinhardt,애드 라인하르트,"Adolph Friedrich Reinhardt (1913 년 12 월 24 일 - 1967 년 8 월 30 일)는 30 년 이상 뉴욕시에서 활발한 추상 화가이자 예술 이론가였습니다.이론가로서 그는 예술에 대해 광범위하게 글을 쓰고 강의했으며 개념 예술, 최소 예술 및 흑백 그림에 큰 영향을 미쳤다.
그의 ""검은 색""또는 ""궁극적 인""그림으로 가장 유명한 그는 누구나 페인트 할 수있는 ""마지막 그림""을 그리는 것으로 주장했습니다.그는 예술의 철학을 믿었고, 예술 작품이라고 불렀으며, 그의 작문과 풍자 만화를 사용하여 추상 예술을 옹호하고 ""예술가들에 대한 예술가들의 반대 할 수있는 관행""으로 묘사 한 것에 반대했다.
그는 AAA (American Abstract Artists)의 일원이었고, 추상 표현주의로 알려진 베티 파슨 갤러리를 중심으로 한 운동의 일부였습니다.그는 또한 1940 년대와 1950 년대 뉴욕 학교 추상 표현주의 예술가들을위한 회의장 인 클럽의 일원이었습니다.",https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Ad_Reinhardt.jpg/220px-Ad_Reinhardt.jpg
adnan coker,아드난 코커,"Adnan Coker (Turkish : Adnan Çoker; 1927 년 10 월 20 일 - 2022 년 8 월 22 일)는 터키의 추상 예술가였습니다.
Coker는 1927 년 10 월 20 일 이스탄불의 Süleymaniye에서 태어났습니다. 그는 1951 년 이스탄불에있는 미술 아카데미를 졸업하고 1955 년 유럽 콩쿠르 상을 수상했습니다. 그는 터키주의 장학금에 대한 파리에서 공부했습니다.파리에서 그는 André Lhote, Henri Goetz 및 Hayter의 스튜디오와 International Salzburg Summer Academy의 Emilio Vedova Studio에서 근무했습니다.
코커는 2022 년 8 월 22 일 94 세의 나이에 사망했다.",
aki kuroda,구로다 아키,"Aki Kuroda (1944 년 10 월 4 일 Kuroda Aki), 실명 Akihiko Kuroda (黒田 明比古 明比古, Kuroda Akihiko)는 프랑스 파리에 본사를 둔 일본 화가입니다.
아키 쿠로 다 (Aki Kuroda)는 그의 실루엣과 선 스트로크로 칠해진 인물로 잘 알려져 있으며, 이는 미로에 대한 ""통로""의 상징처럼 여겨졌다.
1992 년 이래로 그는 ""Cosmogarden""(Cosmic Garden)이라는 유동적 인 대화식 아트 스펙터클/설치를 계속 생산해 왔습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Aki_Atelier_3.jpg/220px-Aki_Atelier_3.jpg
al held,알 개최,"Al Held (1928 년 10 월 12 일 - 2005 년 7 월 27 일)는 미국의 추상 표현주의 화가였습니다.그는 대규모 하드 에지 그림으로 특히 유명했습니다.그러나 예술가로서, 그의 경력 전반에 걸쳐 여러 스타일의 변화가 일어 났지만, 이들 중 어느 것도 인기있는 신흥 스타일과 동시에 발생하지 않았거나 특정 예술 형식에 반대하지 않았습니다.1950 년대에 그의 스타일은 추상 표현주의 톤을 반영한 다음 1960 년대에 기하학적 스타일로 전환했습니다.1980 년대에, 깊은 곳에서 무한대가 반영되는 밝은 기하학적 공간을 강조하는 그림으로의 변화가있었습니다.1963 년부터 1980 년까지 그는 Yale University의 미술 교수였습니다.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Hard_Edge_in_Stedelijk_Museum_van_Amerikaanse_schilder_Al_Held%2C_Bestanddeelnr_918-9590.jpg/220px-Hard_Edge_in_Stedelijk_Museum_van_Amerikaanse_schilder_Al_Held%2C_Bestanddeelnr_918-9590.jpg
alexander calder,알렉산더 칼더,Alexander Calder (; 1898 년 7 월 22 일 - 1976 년 11 월 11 일)공개 조각.칼더는 자신의 작품을 분석하지 않는 것을 선호했다.,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Alexander_Calder_1947_-_Photo_by_Carl_Van_Vechten.jpg/220px-Alexander_Calder_1947_-_Photo_by_Carl_Van_Vechten.jpg
alexander liberman,알렉산더 리버먼,"Alexander Semonovitch Liberman (1912 년 9 월 4 일-1999 년 11 월 19 일)은 우크라이나-미국 잡지 편집자, 출판사, 화가, 사진 작가 및 조각가였습니다.그는 Condé Nast Publications에서 32 년 동안 선임 예술적 직책을 맡았습니다.",https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Alexander_liberman_photo.jpg/220px-Alexander_liberman_photo.jpg
alfred jensen,알프레드 젠슨,"Alfred Julio Jensen (1903 년 12 월 11 일 - 1981 년 4 월 4 일)은 추상 화가였습니다.그의 그림은 종종 밝은 색의 삼각형, 원 또는 사각형의 그리드가 특징이며 두꺼운 사기로 그려집니다.종종 서예 또는 수치 시스템을 통합하는 복잡한 아이디어 웹을 전달하면 종종 ""콘크리트""추상 예술이라고합니다.1981 년 사망 한 후 구겐하임은 1961 년 솔로 전시회를 개최 한 그의 작품의 주요 회고를 조직했다.",
alice baber,앨리스 바버,Alice Baber (1928 년 8 월 22 일 - 1982 년 10 월 2 일)는 석유와 수채화에서 일한 미국의 추상 표현주의 화가였습니다.그녀는 미국에서 교육을 받았으며 1950 년대와 1960 년대에 파리에서 공부하고 살았습니다.그녀는 또한 전 세계를 여행했습니다.페미니스트 인 Baber는 여성 예술가들의 작품을 조직했습니다.,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Portrait_of_Artist_Alice_Baber.jpg/220px-Portrait_of_Artist_Alice_Baber.jpg
